player,stock,percent,position x,position y,character,action,action frame,facing,shield_strength,jumps_left,on_ground,invulnerable,speed air x self,speed ground x self,speed x attack,speed y attack,speed y self
2,4,12,57.504814,1e-04,Character.FALCO,Action.ROLL_FORWARD,26,False,60.0,2,True,False,0.39881516,0.39881516,0.0,0.0,0.0
1,4,24,28.996527,1e-04,Character.FOX,Action.STANDING,4,True,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
2,4,12,57.751186,1e-04,Character.FALCO,Action.ROLL_FORWARD,27,False,60.0,2,True,False,0.24637222,0.24637222,0.0,0.0,0.0
1,4,24,28.996527,1e-04,Character.FOX,Action.STANDING,5,True,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
2,4,12,57.87771,1e-04,Character.FALCO,Action.ROLL_FORWARD,28,False,60.0,2,True,False,0.12652206,0.12652206,0.0,0.0,0.0
1,4,24,28.996527,1e-04,Character.FOX,Action.STANDING,6,True,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
2,4,12,57.916973,1e-04,Character.FALCO,Action.ROLL_FORWARD,29,False,60.0,2,True,False,0.03926468,0.03926468,0.0,0.0,0.0
1,4,24,29.15952,1e-04,Character.FOX,Action.WALK_SLOW,1,True,60.0,2,True,False,0.16299212,0.16299212,0.0,0.0,0.0
2,4,12,57.901592,1e-04,Character.FALCO,Action.ROLL_FORWARD,30,False,60.0,2,True,False,-0.015380859,-0.015380859,0.0,0.0,0.0
1,4,24,29.386642,1e-04,Character.FOX,Action.WALK_SLOW,2,True,60.0,2,True,False,0.22712383,0.22712383,0.0,0.0,0.0
2,4,12,57.864147,1e-04,Character.FALCO,Action.ROLL_FORWARD,31,False,60.0,2,True,False,-0.03744507,-0.03744507,0.0,0.0,-0.0
1,4,24,29.677568,1e-04,Character.FOX,Action.WALK_SLOW,2,True,60.0,2,True,False,0.2909267,0.2909267,0.0,0.0,0.0
2,4,12,57.864147,1e-04,Character.FALCO,Action.STANDING,1,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
1,4,24,30.032665,1e-04,Character.FOX,Action.WALK_SLOW,3,True,60.0,2,True,False,0.3550966,0.3550966,0.0,0.0,0.0
2,4,12,57.864147,1e-04,Character.FALCO,Action.STANDING,2,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
1,4,24,30.307762,1e-04,Character.FOX,Action.STANDING,1,True,60.0,2,True,False,0.2750966,0.2750966,0.0,0.0,0.0
2,4,12,57.864147,1e-04,Character.FALCO,Action.STANDING,3,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
1,4,24,30.582859,1e-04,Character.FOX,Action.DASHING,1,True,60.0,2,True,False,0.2750966,1.9000001,0.0,0.0,0.0
2,4,12,57.864147,1e-04,Character.FALCO,Action.STANDING,4,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
1,4,24,32.40286,1e-04,Character.FOX,Action.GRAB_RUNNING,1,True,60.0,2,True,False,1.82,1.82,0.0,0.0,0.0
2,4,12,57.864147,1e-04,Character.FALCO,Action.STANDING,5,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
1,4,24,34.14286,1e-04,Character.FOX,Action.GRAB_RUNNING,2,True,60.0,2,True,False,1.74,1.74,0.0,0.0,0.0
